wiki_ID,char_words,order
13412180,Helena,8.0
32065969,Helena,9.0
20956661,Helena,2.0
21208777,Helena,6.0
21208777,Helena,14.0
32208443,Helena,2.0
3732839,Helena,2.0
21547263,Helena,
25223887,Helena,5.0
143483,Helena,9.0
2926668,Helena,3.0
7046343,Helena,6.0
975900,Braddock,2.0
12381574,Braddock,3.0
12381574,Braddock,4.0
12381574,Braddock,5.0
12381574,Braddock,10.0
12381574,Braddock,29.0
9461535,Braddock,0.0
5480913,Braddock,1.0
1424754,Braddock,0.0
1424754,Braddock,1.0
1424754,Braddock,7.0
1424754,Braddock,8.0
1424754,Braddock,9.0
1424754,Braddock,34.0
1424754,Braddock,35.0
1424754,Braddock,96.0
1424754,Braddock,97.0
1384107,Braddock,3.0
30172991,Braddock,1.0
30172991,Braddock,13.0
14052970,Braddock,4.0
14052970,Braddock,5.0
4410141,Braddock,0.0
4410141,Braddock,4.0
23995219,Braddock,
29942,Braddock,1.0
29942,Braddock,4.0
29942,Braddock,5.0
8475523,Braddock,5.0
975900,Daddy,6.0
443556,Daddy,7.0
1239400,Daddy,
73428,Daddy,10.0
4597938,Daddy,
2014023,Daddy,11.0
19485841,Daddy,8.0
22681300,Daddy,
5994199,Daddy,1.0
3990404,Daddy,5.0
26008898,Daddy,
5134079,Daddy,2.0
4118332,Daddy,
13064127,Daddy,
21254215,Daddy,3.0
1196030,Daddy,29.0
1196030,Daddy,42.0
20169447,Daddy,5.0
9968318,Daddy,
605198,Daddy,14.0
11741801,Daddy,11.0
3511234,Daddy,
21282769,Daddy,2.0
1623267,Daddy,7.0
10927147,Daddy,
915499,Daddy,7.0
975900,Mars,6.0
1266043,Mars,1.0
1545870,Mars,3.0
2344137,Mars,
3382856,Mars,
21248487,Mars,
1645634,Mars,8.0
21550540,Mars,1.0
171939,Mars,2.0
1645598,Mars,2.0
1645598,Mars,5.0
9544391,Mars,1.0
526822,Mars,4.0
20431870,Mars,
35613333,Mars,
4738587,Mars,
975900,Michael,8.0
2238856,Michael,11.0
167857,Michael,2.0
26728732,Michael,0.0
6795107,Michael,
20506905,Michael,0.0
22592501,Michael,0.0
2002258,Michael,3.0
2002258,Michael,23.0
20703482,Michael,
3619129,Michael,3.0
8796916,Michael,0.0
30864515,Michael,1.0
320502,Michael,6.0
4694464,Michael,3.0
5668183,Michael,
10275047,Michael,4.0
1358544,Michael,0.0
945305,Michael,
3754316,Michael,1.0
23883858,Michael,14.0
33384315,Michael,
529276,Michael,1.0
779536,Michael,3.0
246355,Michael,0.0
10140793,Michael,4.0
32129077,Michael,0.0
11395467,Michael,13.0
27478552,Michael,4.0
27478552,Michael,5.0
2233095,Michael,4.0
20783851,Michael,0.0
10709040,Michael,
390436,Michael,7.0
2387927,Michael,12.0
890407,Michael,5.0
778884,Michael,0.0
26464662,Michael,9.0
30885871,Michael,3.0
10216667,Michael,9.0
4211962,Michael,0.0
151535,Michael,0.0
10353968,Michael,2.0
235418,Michael,4.0
7597656,Michael,7.0
277666,Michael,0.0
73441,Michael,2.0
957928,Michael,16.0
8531151,Michael,0.0
22916442,Michael,
2513894,Michael,15.0
2513894,Michael,36.0
1173339,Michael,0.0
538455,Michael,4.0
26111191,Michael,
10097242,Michael,0.0
2541685,Michael,0.0
28731928,Michael,0.0
12575892,Michael,2.0
5332316,Michael,0.0
5332316,Michael,17.0
5332316,Michael,19.0
6469252,Michael,9.0
14149346,Michael,1.0
14149346,Michael,2.0
781629,Michael,6.0
10418324,Michael,0.0
18710930,Michael,
5968326,Michael,0.0
19958360,Michael,4.0
14290295,Michael,5.0
14414565,Michael,2.0
19547540,Michael,
172008,Michael,1.0
24077910,Michael,9.0
24077910,Michael,42.0
23309792,Michael,0.0
15402213,Michael,1.0
29460674,Michael,0.0
17911663,Michael,
14935136,Michael,
89445,Michael,8.0
2367161,Michael,2.0
14037329,Michael,2.0
982199,Michael,
843289,Michael,2.0
1695150,Michael,2.0
2068890,Michael,3.0
19815664,Michael,
455013,Michael,0.0
18554876,Michael,0.0
3520833,Michael,0.0
164411,Michael,1.0
28269,Michael,1.0
1164538,Michael,2.0
12429317,Michael,11.0
10553349,Michael,0.0
20466834,Michael,
935847,Michael,12.0
77856,Michael,6.0
11738477,Michael,10.0
3841831,Michael,0.0
3365397,Michael,
13957366,Michael,0.0
15033915,Michael,38.0
11901104,Michael,5.0
24466540,Michael,0.0
