wiki_ID,wikidata_ID
4038269,
15890474,
906380,Q7731922
1135297,Q541412
1307956,Q256037
1957472,Q1558697
2216254,Q1643330
3210963,Q7538754
3809621,Q3068933
7014201,Q5393143
7082486,Q2819997
7752732,Q1558887
7882413,Q2871942
8190464,Q7758160
9086301,Q1763572
9139404,Q7094309
9215946,Q1405677
9678161,Q6721112
11220896,Q4837324
12452237,Q3129124
13710882,Q5438015
15790701,Q5325316
15948971,Q3072234
17024723,Q7719308
18141105,Q1112849
18300655,Q3988465
18848953,Q7763656
19087098,Q2249321
19576505,Q5276606
19837210,Q1848116
19950563,Q7718671
20271784,Q3011267
20338652,Q5215364
20581194,Q5521006
20694087,Q16250076
20996481,Q5500949
21209475,Q279058
23103089,Q7297222
24732078,Q3186994
29024029,Q5380115
30603831,Q7716309
30744671,Q6816224
30994230,Q4656768
31094908,Q7747829
31196941,Q7647391
31457076,Q7768548
31633054,Q7941632
31638525,Q4400743
33773022,Q644407
7267251,
30729485,
665676,Q7311719
706803,Q526690
1028671,Q5267205
1094668,Q734008
1378672,Q689428
1641416,Q1143315
1748912,Q1197463
1964091,Q728539
2524925,Q2548919
3899153,Q925852
3917891,Q51743
3917900,Q700875
4002677,Q288361
4031676,Q15036230
6721185,Q2256780
7173668,Q5093282
7939249,Q8859654
7985961,Q7755573
9404578,Q500044
9846672,Q6675905
9855320,Q6463003
9855335,Q6682839
9962209,Q21568958
10972420,Q5449437
15388340,Q4655360
16791637,Q776742
18370691,Q3278350
18900393,Q7196150
22056121,
22358819,Q192979
22643691,Q2685934
23128940,Q4790908
23435357,Q5286096
24272584,Q4849693
26687336,Q8048073
26712095,Q5088916
27064671,Q5475190
27480248,Q6517941
28330207,Q3506077
28530363,Q1183257
29499560,Q4126383
30066955,Q3989214
30542622,Q5682031
30548208,Q269810
32789457,Q3282983
33726417,Q3399671
34081237,Q4972526
34131426,Q7736544
7458959,
26283021,
444919,Q3206634
1033477,Q573104
1097249,Q5291690
1851703,Q582147
1941497,Q1415194
2298689,Q5159593
3670013,Q1754956
3917873,Q1637791
5363369,Q2004460
5596675,Q12203578
5933936,Q656695
6488515,Q3411300
6515754,Q4659794
6613755,Q1962005
6638546,Q4424356
7266768,Q10328192
9201207,Q7769181
9751550,Q943961
10205199,Q873313
11467890,Q1490198
11599737,Q484773
12287578,Q3405395
12310718,Q6695515
13184162,Q1143085
13720943,Q8072589
14217965,Q2693973
14710585,Q7683961
17455191,Q3822185
18848111,Q634972
19036707,Q6937759
19801670,Q7773990
20206687,Q1982202
20437960,Q3519695
24257335,Q3521134
24300269,Q3536308
25716411,Q74437
26890096,Q6089147
27498733,Q3460807
28010827,Q381758
29419841,Q6540237
29508267,Q7823945
31690131,Q5268822
32505827,Q5299322
32752081,Q4668172
32804099,Q4184234
33152192,Q3341875
34536797,Q5403060
36208311,Q4901976
7280802,
1533733,Q176433
1904367,Q555014
4572965,Q1048645
4953051,Q950029
5181423,Q301032
5464664,Q1199345
6973699,Q351989
7026346,Q16962131
7154611,Q3203688
7281088,Q3861013
7521477,Q4898739
9104619,Q3795467
9899642,Q6655226
10706435,Q5520986
11477471,Q5597644
12632216,Q1219959
13720962,Q6692392
15096320,Q3428289
18635843,Q7734840
20695394,Q3937862
21038272,Q7105148
21132951,Q4779127
21260121,Q1729018
21312403,Q612287
22365569,Q7302974
22592501,Q7731503
23028763,Q7737110
23753154,Q7315563
24051028,Q2012956
24207129,Q300559
25736891,Q12134961
25897109,Q558927
26068632,Q2411321
27290119,Q3319596
28400904,Q7860929
28542372,Q980015
28826929,Q886189
29119625,Q5031147
31337689,Q7735321
31348830,Q7238333
31814576,Q3225254
32529406,Q16252434
33096336,Q643972
33459944,Q16254091
34061686,Q11179585
34235410,Q1864826
34694618,Q3040408
35762859,Q7228992
35882350,
9782958,
1169305,Q7082032
1781048,Q429520
4633426,Q5271999
5774478,Q7990055
5884079,Q748530
7536753,Q4195338
7876902,Q4667407
8763366,Q1686618
9205349,Q5874617
9248665,Q3214181
9408752,Q4868248
9429240,Q5269301
9889964,Q797455
9993309,Q5253934
10142493,Q7993122
11227773,Q8027430
12771649,Q3638578
13293417,Q502655
14734420,Q7192693
15670779,Q129037
17325393,Q384089
17711304,Q7312813
19036329,Q3212502
20567826,Q572861
20695060,Q7196107
22378288,Q12878223
22644907,Q2357638
24009114,Q3321119
24011286,Q7532581
25075517,Q921599
25214436,Q2858085
25847898,Q7825292
28024741,Q5880018
28201876,Q7909301
28388755,Q4272175
28492703,Q7203742
28736289,Q781848
29258922,Q3205513
29661508,Q7445924
29801922,Q1054876
31025101,Q6492739
31227417,Q12103455
32069698,Q5271361
33023297,Q2757891
33624347,Q6819146
34319106,Q771197
34366440,Q7719936
34525535,Q6907717
34866550,Q5085751
8088400,
18053600,
9993314,
9993323,
15753282,
25131827,
7586366,
27044179,
399402,Q191753
817057,Q239794
937852,Q16976587
1222278,Q939385
1901096,Q4373808
2121431,Q1533822
2553539,Q1070484
3163300,Q4818010
4200912,Q169408
4738976,Q5522268
4836072,Q201215
5392217,Q2404394
5446828,
7844547,Q2653573
8316526,Q6545377
8437284,Q3661743
10050603,Q5433707
12868752,Q5510516
13726036,Q5437985
14709757,Q4941144
15337014,Q7774445
17028988,
17635680,Q8057986
17807776,Q6142536
18543941,Q7830523
19134776,Q7203033
19247704,Q1347352
19803330,Q3472331
19840260,Q6841593
22224559,Q900362
22342112,Q7178200
23346792,Q5274383
26900805,Q7722525
29004995,Q1213489
29302351,Q11001863
31157561,Q7114339
31782747,Q7314929
32956142,Q5238758
33616397,Q8048748
34624303,Q5306567
34994883,Q428380
36524453,Q7676717
11921020,
34090675,
23404570,
6109092,
736262,Q939142
1132138,Q1171313
2262277,Q1637390
3340222,Q1754532
3579544,Q2354963
4360088,Q310617
5125134,Q2028248
5240350,Q4904980
5469928,Q622201
5480947,Q6115233
5923472,Q4731161
6644109,Q1180275
7323666,Q12124508
7922428,Q2993106
9985468,Q7957210
9985474,Q2562732
10624891,Q1518781
11361551,Q1504143
13457871,Q5437575
14076924,Q3429315
14544711,Q839230
17007014,Q7492009
17244218,Q1794537
17369283,Q3800802
18195326,Q1129981
18579003,Q7737193
19511466,Q7310661
19935159,Q3222580
20138604,Q3228117
21088136,Q848825
21426256,Q6793667
24048171,Q178826
29804533,Q3736964
30864413,Q8063397
31322416,Q5274382
32066330,Q7113699
32470255,Q5466889
32777931,Q3232803
32896184,Q7720732
33412374,Q12125517
33890738,Q6772945
34594999,Q7769927
35130250,Q3999960
35618397,Q5555671
35725115,Q5111437
36410662,Q6694470
34992168,
22644468,
9919006,
249406,Q1431567
414368,Q5579988
2295231,Q798620
4188689,Q880236
6242699,Q2445751
7100124,Q5208332
7153927,Q129073
7376439,Q3549030
7376595,Q5316807
7544443,Q841487
7566281,Q7911834
7567438,Q11038827
8658177,Q3566541
8743599,Q4837199
8889869,Q4780033
8913767,Q7198477
10345537,Q3419893
12095072,Q1169273
12677130,Q570320
13113851,Q5448798
13365023,Q6825596
16943307,Q3522800
17839776,Q3522459
19160892,Q7044328
20465302,Q7734266
20762723,Q3987191
21234681,Q818849
21598586,Q443326
22475578,Q7635898
22643381,Q8075438
22743224,Q4873782
22946282,Q3326141
22994034,Q1406288
23687464,Q373806
23687989,Q3878234
24021186,Q3305239
24292756,Q5422836
24434151,Q2455693
24915544,Q3222391
26446859,Q4696791
27383563,Q53719
28379587,Q7247579
29154658,Q3223803
30553656,Q7083242
30975925,Q6470044
32163804,Q6938134
34129990,Q3637709
5445021,
34916655,
9919009,
19490946,
6602958,
161877,Q971412
168571,Q574057
846329,Q743203
957179,Q287740
1231856,Q777591
3389311,Q1305472
3694061,Q1674808
4025965,Q2966752
5218366,Q3427615
5565338,Q655487
6057135,Q2967565
6183212,Q3008740
6244632,Q3003813
6352213,Q3127408
6847340,Q4003625
9208103,Q5159164
9912418,Q5965951
9912420,Q5055548
10990102,Q1307054
11144406,Q2383610
15371815,Q7001976
15941612,Q3224843
16573952,Q1763425
17594183,Q4659451
17683356,Q764388
19988478,Q3156600
23248065,Q820819
23737168,Q5436904
24813200,Q6417181
26013008,Q5002900
26798968,Q6152803
26876259,Q6077894
27424477,Q7797610
28066754,Q5091415
28492939,Q4734370
29278064,Q5160102
30160141,Q3091293
30719399,Q6091114
31149313,Q7121453
31982675,Q7875591
34129623,Q3964221
34563800,Q4855106
36036213,Q3285498
36348802,Q4016634
36406869,Q7448594
30531735,
7612646,
28692419,
9308502,
34953631,
9879584,
77639,Q1198860
309159,Q1125687
934809,Q699717
1273569,Q3837841
1273572,Q614854
1358704,Q1637652
1612686,Q176488
4600837,Q2792321
5080311,Q1510303
5137345,Q1961722
5150761,Q2657579
7378452,Q12126679
8158277,Q1362830
8948959,Q1758349
9569532,Q1319849
9879562,Q5017230
9879576,Q5026785
10017049,Q5291786
10492496,Q5285131
10604572,Q7302038
10663174,Q7738307
10700127,Q7240165
10858701,Q2222439
12395625,Q7261913
13508675,Q4927667
14415689,Q2188440
16645962,Q722353
16683731,Q5641767
17470026,Q7703852
21686929,Q12124788
22145673,Q7514012
23714330,Q3657862
23792787,Q5053555
23939272,Q1931427
26374132,Q6684259
27695067,Q7752894
28379461,Q7876269
29831967,Q3665199
29832052,Q1133869
30587025,Q5267966
31636280,Q283555
31646915,Q5732230
31707381,Q7773946
33404927,Q4019808
28275468,
8781041,
33551059,
612007,Q2527167
967367,Q5949967
1141059,Q488345
1850269,Q716883
1911903,Q1568640
2028217,Q862058
3504034,Q2549045
3889952,Q7750231
4453753,Q374207
4724834,Q748412
5682615,Q261145
5842466,Q7502930
6057698,Q966926
7299774,Q3221469
8610844,Q3284994
8906793,Q4739423
9878993,Q9019418
9943176,Q3820833
10451448,Q7971038
11259949,Q3319924
14613957,Q3941439
16791614,Q319184
18070985,Q7784107
18095028,Q5466688
18410187,Q7758755
20500100,Q3772845
21254725,Q200728
21674541,Q780702
22811780,Q826199
23687729,Q3996035
25366718,Q2124582
25417587,Q6751075
25603991,Q4699579
25768831,Q7784776
25877696,Q6886298
26268645,Q14931659
28350035,Q6748753
28374748,Q3054180
28807804,Q5084384
28839628,Q571167
30599547,Q5497675
31987584,Q7745582
33477597,Q1210886
34055313,Q4742921
34109833,Q7786431
35588348,Q5984926
35827366,Q4395101
21482599,
36052259,
15284386,
803276,Q1425384
1157158,Q602600
1341543,Q1764969
1774709,Q603440
2119021,Q858047
2397783,Q5519879
3028248,Q1305541
3432108,Q2090840
3972416,Q625209
4501185,Q225958
5125045,Q1604268
5877719,Q12100134
6836206,Q3553351
9573761,Q6512910
9594415,Q4023768
10999615,Q7769892
12837431,Q12127561
12941571,Q7729300
13769297,Q495737
15098346,Q4661177
16647548,Q562639
17884388,Q5276624
19104869,Q1714284
19940109,Q1610740
20426704,Q5666711
20454049,Q7821655
20568858,Q456054
20632048,Q18647907
20927265,Q5028831
23202562,Q5446407
23467297,Q7168015
24064330,Q7458470
24459970,Q3985784
24665535,Q7719562
24858468,Q3401652
25152002,Q4866982
25215987,Q4924525
28492562,Q3506290
28492608,Q3505774
28992007,Q2268308
29023860,Q4083106
31210251,Q7908702
31323898,Q2549119
31427208,Q7549554
33083106,Q6818868
34630340,Q2087626
34644182,Q4142279
27278051,
29510726,
142274,Q963081
508985,Q830430
1217079,Q494582
1472852,Q218290
1472865,Q4454259
1871167,Q1387340
2313467,Q1498448
2486602,Q7743076
3059075,Q2251878
3682299,Q1765614
5049873,Q661660
5284284,Q3485205
6426246,Q6881927
6887098,Q1395528
7121282,Q7774850
9362941,Q969709
9424677,Q3287432
9558041,Q4657044
10088120,Q7763442
12042846,Q7577863
14230997,Q7317348
14963981,Q6508066
18487239,Q1656221
18705442,Q7977124
19086354,Q7739010
19434365,Q7515884
19673886,Q2466760
21239514,Q7759107
