name,status,group_year,movie_id
barbara,i,2002,1011468
sandy,t,1956,2009257
sandy,t,1956,3649048
sandy,t,1971,549949
sandy,t,1971,26166420
sandy,t,1971,25830373
sandy,b,1961,7543423
sandy,b,1961,13273342
sandy,b,1961,3868326
sandy,i,1978,336846
sandy,i,1986,3947
sandy,i,2007,9441132
sandy,i,2005,30863163
sandy,i,2004,1683542
booth,i,1986,3947
booth,i,1978,103021
booth,i,2010,29839198
booth,i,1979,341538
booth,i,1989,5846373
lyndon,i,1975,4227
lyndon,i,1983,113442
lyndon,i,1987,20851014
barry,t,1973,4227
barry,t,1973,382510
barry,t,1973,4773557
barry,t,1958,6991514
barry,t,1958,28021528
barry,t,1958,3344524
barry,t,1936,24926538
barry,t,1936,33326948
barry,t,1929,15531185
barry,t,1929,22895245
barry,t,1929,31709121
barry,t,1996,2023704
barry,t,1996,255049
barry,t,1996,13087370
barry,b,1964,28273975
barry,i,2010,26518930
barry,i,2003,3254058
barry,i,2009,13229264
barry,i,2000,25471984
barry,i,2007,5968326
summers,b,1977,1940533
summers,b,1977,19089093
summers,i,1984,680398
summers,i,1992,4231
summers,i,2002,5886412
kimberly,t,1979,164365
kimberly,t,2004,1128240
kimberly,t,2004,1599839
kimberly,t,2004,5734461
kimberly,b,1968,26492850
kimberly,i,1997,277148
kimberly,i,1992,4231
kimberly,i,2009,22857151
kimberly,i,1995,703807
kimberly,i,2005,2322291
benny,b,1940,22235398
benny,b,1940,25561829
benny,b,1940,18579598
benny,i,1990,55325
benny,i,1996,904450
benny,i,1993,503573
benny,i,1998,695283
benny,i,1989,129542
buffy,i,2000,277667
buffy,i,1992,4231
jennifer,t,1967,11577392
jennifer,t,1967,11612413
jennifer,t,1967,11161265
jennifer,t,1993,213275
jennifer,t,1993,4231
jennifer,t,1993,736200
jennifer,t,1960,5777111
jennifer,t,1960,21243273
jennifer,t,2009,7920068
jennifer,t,2009,15713038
jennifer,t,2009,2688309
jennifer,t,1942,2100379
jennifer,b,1975,2390369
jennifer,b,1975,2370259
jennifer,b,1975,5821430
jennifer,b,1984,42993
jennifer,b,1984,34130
jennifer,b,1984,1179229
jennifer,i,1989,213270
jennifer,i,2002,25165180
jennifer,i,2000,20839451
jennifer,i,2004,984020
jennifer,i,2005,1266043
merrick,b,1946,17066135
merrick,i,2005,1068520
merrick,i,1980,106344
